emotion_score,cliffhanger_score,continuity_score,arc_deviation,is_flat_zone,drop_off_probability,drop_off_label
0.8555,7.0366,0.4742,0.0978,0,0.1801,0
0.4339,3.985,0.6159,0.6351,0,0.4888,0
0.3746,6.2586,0.5031,0.8565,0,0.4863,0
0.5858,9.4023,0.5755,0.3882,0,0.2677,0
0.4583,5.4562,0.9415,0.3861,1,0.417,0
0.319,8.4488,0.0233,0.8145,0,0.5447,1
0.1182,6.9674,0.6289,0.8775,1,0.5858,1
0.1774,7.5061,0.8068,0.9905,0,0.5115,1
0.372,7.7641,0.3408,0.9308,1,0.6732,1
0.7545,1.0312,0.9026,0.5053,1,0.5037,1
0.32,8.9552,0.3892,0.0108,1,0.4116,0
0.9501,9.5061,0.5734,0.6318,0,0.1767,0
0.2932,3.2866,0.6725,0.7524,1,0.6215,1
0.5495,4.4153,0.8877,0.3509,0,0.3548,0
0.143,7.6151,0.6182,0.1011,0,0.3557,0
0.8219,7.0624,0.0813,0.0848,1,0.4393,0
0.3743,3.7064,0.8128,0.9472,1,0.5915,1
0.0835,7.7715,0.5584,0.4242,1,0.6159,1
0.1112,4.9263,0.0114,0.4687,0,0.706,1
0.5834,9.6217,0.3749,0.2857,1,0.4219,0
0.2236,9.6322,0.0122,0.9699,0,0.5517,1
0.993,0.738,0.5539,0.9693,0,0.5634,1
0.6294,6.9575,0.4545,0.6276,0,0.3816,0
0.6201,2.7738,0.1881,0.4637,0,0.5925,1
0.5837,0.7773,0.9744,0.9862,0,0.4382,0
0.8138,6.8473,0.1626,0.9109,1,0.5634,1
0.9498,7.2572,0.6134,0.4182,1,0.3312,0
0.8106,9.8728,0.1504,0.5941,0,0.2961,0
0.9699,8.4212,0.8383,0.4687,0,0.1521,0
0.8647,8.129,0.9997,0.9966,0,0.2367,0
0.769,9.4477,0.8496,0.2473,0,0.0731,0
0.6717,6.1813,0.3582,0.1136,0,0.3688,0
0.5203,7.7232,0.5202,0.8522,0,0.4633,0
0.4035,1.3402,0.0288,0.7551,0,0.7247,1
0.7041,2.1296,0.1364,0.0145,0,0.3984,0
0.4375,9.0416,0.3483,0.514,1,0.549,1
0.3965,6.2209,0.8624,0.9495,0,0.4335,0
0.2582,4.5914,0.98,0.4926,0,0.4654,0
0.6334,2.4015,0.0759,0.1289,0,0.4687,0
0.3457,8.9679,0.474,0.6676,0,0.4243,0
0.1923,0.4087,0.1689,0.2786,0,0.626,1
0.3643,5.0342,0.6904,0.0393,1,0.4661,0
0.6279,0.8176,0.8736,0.9209,0,0.5745,1
0.7483,1.8452,0.2093,0.3705,0,0.4903,0
0.6183,3.6891,0.4625,0.7475,0,0.5469,1
0.8952,5.1168,0.5321,0.1072,0,0.233,0
0.5326,2.4247,0.2692,0.3773,0,0.4938,0
0.3275,1.1976,0.8905,0.5936,0,0.5104,1
0.7892,4.9844,0.0869,0.5371,0,0.4443,0
0.1276,2.8378,0.3631,0.6459,0,0.7363,1
0.3561,9.8652,0.6058,0.2372,0,0.2565,0
0.1607,1.8657,0.2851,0.1734,1,0.6915,1
0.0802,5.2451,0.4104,0.9824,0,0.6574,1
0.8655,8.1707,0.2579,0.1709,0,0.2583,0
0.9294,5.5676,0.5716,0.28,1,0.3501,0
0.4254,5.0761,0.2424,0.1148,0,0.41,0
0.2886,5.8124,0.1544,0.4811,0,0.5373,1
0.1344,0.6337,0.99,0.3224,1,0.6274,1
0.2546,6.815,0.7602,0.5956,0,0.3307,0
0.9295,8.3062,0.965,0.1243,1,0.1425,0
0.9383,1.8123,0.0665,0.7411,0,0.5529,1
0.7953,2.0163,0.1637,0.1643,1,0.5883,1
0.6652,5.2307,0.3588,0.8772,0,0.4741,0
0.3769,4.6268,0.3014,0.7476,0,0.6339,1
0.2322,8.9957,0.3839,0.5436,1,0.4826,0
0.9398,6.2771,0.3349,0.1393,1,0.395,0
0.6201,5.3346,0.8939,0.7886,0,0.3199,0
0.7439,0.3353,0.5699,0.7625,1,0.6135,1
0.3421,8.2126,0.1106,0.8465,0,0.5873,1
0.1499,2.2925,0.7223,0.72,0,0.5851,1
0.6939,5.4272,0.2518,0.3457,0,0.4237,0
0.4009,4.6201,0.9473,0.1534,0,0.3865,0
0.5059,6.1145,0.0181,0.8721,1,0.7564,1
0.9225,7.0724,0.1525,0.5763,0,0.3927,0
0.4241,7.3644,0.9344,0.9256,0,0.5019,1
0.399,0.5476,0.3352,0.8029,0,0.7134,1
0.3335,3.9817,0.5374,0.9199,0,0.6412,1
0.4522,2.246,0.4524,0.1409,0,0.4593,0
0.4984,4.1893,0.9148,0.3624,0,0.3203,0
0.9611,1.4866,0.4146,0.0853,1,0.5208,1
0.5022,5.9539,0.0671,0.75,0,0.5392,1
0.1907,0.3655,0.4721,0.5648,0,0.6894,1
0.7755,4.5329,0.5244,0.4408,0,0.3225,0
0.1819,8.6179,0.9461,0.3733,0,0.3229,0
0.644,4.0873,0.0254,0.1562,1,0.5803,1
0.222,2.3107,0.6719,0.0197,0,0.4953,0
0.7999,1.7854,0.6527,0.2382,0,0.4423,0
0.8557,8.3022,0.3972,0.6681,0,0.2608,0
0.2931,8.9634,0.013,0.0855,0,0.3346,0
0.8927,8.1744,0.3418,0.2594,0,0.3404,0
0.5903,2.6806,0.6241,0.4094,0,0.3709,0
0.9485,7.6361,0.1401,0.8685,0,0.3588,0
0.8946,7.9986,0.4252,0.0225,0,0.3125,0
0.2579,1.3936,0.8349,0.9844,0,0.658,1
0.1717,2.7231,0.0184,0.9143,0,0.6774,1
0.5542,6.5142,0.8297,0.2064,0,0.3086,0
0.1369,9.0002,0.8739,0.5974,0,0.3104,0
0.9144,4.1877,0.3831,0.5189,0,0.4225,0
0.1663,7.3803,0.0828,0.6032,0,0.4847,0
0.3557,7.1905,0.2971,0.5664,0,0.431,0
0.6637,9.3683,0.7326,0.2149,0,0.2191,0
0.0514,4.9637,0.5968,0.3342,1,0.5431,1
0.1066,0.7514,0.7282,0.4955,0,0.5516,1
0.8191,7.9942,0.6947,0.2721,0,0.1873,0
0.361,0.9158,0.9173,0.1368,1,0.5034,1
0.5419,8.7295,0.7322,0.8066,0,0.3159,0
0.6923,8.492,0.2497,0.4894,0,0.3866,0
0.0339,6.9742,0.2973,0.9244,1,0.7182,1
0.9443,4.7421,0.862,0.8445,0,0.2557,0
0.1206,0.7695,0.6963,0.3399,1,0.7335,1
0.0654,3.1529,0.5395,0.7907,0,0.6932,1
0.6159,2.3296,0.0244,0.8701,0,0.6659,1
0.8747,5.2894,0.9391,0.7988,1,0.4658,0
0.4019,4.7988,0.6275,0.8737,1,0.5769,1
0.7683,4.1777,0.4214,0.7376,0,0.4439,0
0.2872,2.9631,0.2336,0.0421,0,0.5087,1
0.9877,4.2777,0.3843,0.6796,0,0.3915,0
0.8791,9.4473,0.4674,0.6134,0,0.2041,0
0.9912,2.3167,0.9427,0.6496,0,0.2631,0
0.1765,2.2049,0.1864,0.7796,0,0.7231,1
0.0578,9.691,0.8838,0.9278,1,0.4886,0
0.7582,6.9602,0.1539,0.8158,0,0.3846,0
0.2238,5.3697,0.5929,0.5801,0,0.4833,0
0.1295,8.8875,0.9557,0.8621,1,0.5184,1
0.6552,5.5086,0.087,0.4085,0,0.509,1
0.4959,0.8105,0.2202,0.6833,0,0.6126,1
0.8512,4.9515,0.4806,0.5924,1,0.5476,1
0.5657,2.6703,0.8786,0.7974,0,0.4158,0
0.8506,8.6729,0.7084,0.837,0,0.3115,0
0.7527,1.5861,0.8809,0.8718,0,0.5454,1
0.8258,1.2887,0.3351,0.7435,0,0.5703,1
0.5075,0.0639,0.287,0.6169,1,0.7764,1
0.6318,2.598,0.634,0.54,1,0.5816,1
0.5413,9.6299,0.3419,0.6326,1,0.4322,0
0.1025,9.3723,0.6879,0.0678,0,0.2976,0
0.5822,3.4588,0.6209,0.0457,1,0.4921,0
0.9735,9.6888,0.7497,0.1301,1,0.179,0
0.7704,6.833,0.4459,0.2736,1,0.3025,0
0.4262,4.5139,0.1636,0.7948,0,0.6506,1
0.2733,9.5086,0.1511,0.4323,1,0.5966,1
0.4197,6.3853,0.3976,0.2742,1,0.56,1
0.23,2.131,0.0311,0.6517,0,0.7098,1
0.8644,4.7321,0.9682,0.1855,1,0.3615,0
0.8448,7.6102,0.6262,0.1312,0,0.2411,0
0.9208,6.1665,0.7965,0.4815,0,0.2665,0
0.4303,2.0052,0.4916,0.0642,0,0.4557,0
0.269,7.9756,0.3104,0.4552,0,0.441,0
0.4799,6.0002,0.2917,0.695,1,0.5615,1
0.7799,0.3962,0.4805,0.1049,0,0.5829,1
0.7025,5.5965,0.0098,0.3265,0,0.4524,0
0.0879,3.5063,0.0332,0.0786,0,0.6378,1
0.6895,8.0059,0.2002,0.1675,0,0.2694,0
0.6364,7.0648,0.0316,0.9362,0,0.6037,1
0.871,7.1409,0.8017,0.3395,1,0.3265,0
0.0801,8.9482,0.5476,0.8173,0,0.4947,0
0.7316,0.8163,0.0604,0.2471,0,0.6767,1
0.8718,2.1921,0.9759,0.3369,0,0.3526,0
0.4982,5.5536,0.7192,0.2285,1,0.5057,1
0.9748,6.5033,0.1995,0.6802,0,0.4279,0
0.7272,7.4271,0.4255,0.3459,0,0.3066,0
0.9876,0.4011,0.867,0.5787,0,0.3992,0
0.8734,9.007,0.4217,0.2768,0,0.3077,0
0.9124,2.1066,0.623,0.6316,1,0.5489,1
0.909,1.7968,0.2375,0.9714,0,0.5328,1
0.8544,4.9228,0.2472,0.8707,0,0.3582,0
0.593,1.6352,0.3911,0.9694,0,0.6316,1
0.6567,3.2519,0.7735,0.1309,1,0.3754,0
0.0735,1.6976,0.5198,0.337,1,0.7137,1
0.4309,2.4871,0.6171,0.7068,0,0.5926,1
0.4746,8.4417,0.8057,0.5854,1,0.4659,0
0.2058,1.1192,0.2697,0.0571,0,0.6131,1
0.9339,3.1616,0.5072,0.0416,0,0.2747,0
0.9866,9.6512,0.0049,0.9518,0,0.3489,0
0.5156,4.8885,0.6669,0.1397,0,0.4163,0
0.3079,7.0468,0.2019,0.6734,1,0.6361,1
0.4438,8.6814,0.1771,0.6926,1,0.5145,1
0.9446,6.8325,0.4972,0.6178,1,0.3797,0
0.9309,6.8953,0.6765,0.2157,0,0.2108,0
0.3939,6.5123,0.1066,0.6578,1,0.6838,1
0.7824,5.6702,0.7384,0.8785,0,0.3558,0
0.327,6.6759,0.8078,0.7623,1,0.5852,1
0.1202,5.4449,0.0058,0.3246,0,0.5911,1
0.3962,6.9547,0.3886,0.4487,0,0.3672,0
0.0732,6.0345,0.6682,0.6195,0,0.4799,0
0.3798,8.6333,0.5191,0.4792,0,0.3063,0
0.3988,5.8017,0.5336,0.6079,1,0.4841,0
0.813,7.1812,0.9555,0.0182,0,0.1303,0
0.927,0.6027,0.9344,0.3516,0,0.3856,0
0.4859,2.5678,0.2849,0.3073,1,0.545,1
0.6103,7.1615,0.2726,0.4135,0,0.4099,0
0.1811,6.8112,0.1814,0.5252,1,0.6509,1
0.2566,9.6293,0.4835,0.806,0,0.3743,0
0.0434,6.3315,0.9514,0.6016,1,0.535,1
0.212,6.1098,0.411,0.8399,1,0.6776,1
0.3534,2.3687,0.7805,0.2748,1,0.6667,1
0.0955,6.2386,0.4518,0.5866,0,0.4952,0
0.7369,8.628,0.2167,0.0957,0,0.3392,0
0.5467,2.3195,0.3909,0.5945,0,0.6359,1
0.9878,1.3644,0.6951,0.4043,0,0.4326,0
0.9913,1.2839,0.1041,0.7243,0,0.6067,1
0.2742,0.7942,0.0857,0.8942,0,0.7196,1
0.355,0.6942,0.5191,0.0676,1,0.6112,1
0.2337,5.4001,0.8801,0.6509,0,0.3926,0
0.6695,9.9414,0.6618,0.5578,1,0.274,0
0.4652,0.6014,0.5623,0.9576,0,0.5973,1
0.5358,0.9668,0.4504,0.7562,0,0.6419,1
0.6649,7.9545,0.9272,0.2346,0,0.1985,0
0.842,5.2096,0.6236,0.0891,1,0.4109,0
0.1277,8.2607,0.782,0.7087,0,0.3666,0
0.3601,0.8764,0.937,0.5538,0,0.4849,0
0.397,4.472,0.6006,0.5157,1,0.5864,1
0.8514,2.0851,0.9306,0.1164,1,0.4059,0
0.3806,8.7797,0.8681,0.8059,1,0.4134,0
0.403,1.7352,0.695,0.3461,1,0.5983,1
0.641,8.2248,0.1325,0.862,1,0.669,1
0.7648,1.7484,0.5026,0.3987,0,0.4506,0
0.3675,0.6817,0.0258,0.1352,1,0.7782,1
0.4325,3.1182,0.5061,0.4395,0,0.5157,1
0.6408,2.1604,0.6196,0.6502,0,0.4642,0
0.9949,0.5778,0.695,0.9837,0,0.4894,0
0.1422,1.2138,0.3033,0.101,0,0.6333,1
0.9967,8.1397,0.6152,0.3063,0,0.1431,0
0.527,4.2608,0.1307,0.8866,0,0.5719,1
0.4141,8.2754,0.7336,0.7693,0,0.3083,0
0.4162,4.8134,0.0192,0.2598,1,0.6421,1
0.2152,0.1212,0.2412,0.9759,1,0.8348,1
0.9596,4.8785,0.1097,0.548,0,0.3644,0
0.3247,7.3736,0.476,0.3759,0,0.4068,0
0.4594,7.8502,0.8921,0.9553,1,0.5216,1
0.4376,2.5467,0.8409,0.0384,1,0.4457,0
0.4615,6.372,0.6594,0.8951,0,0.4138,0
0.5184,1.5017,0.7374,0.5122,0,0.5131,1
0.0417,0.8479,0.7163,0.0721,0,0.5416,1
0.2965,3.497,0.7747,0.6614,0,0.5802,1
0.1741,0.984,0.6603,0.7644,0,0.6899,1
0.3819,2.0569,0.1214,0.615,1,0.8263,1
0.6439,5.303,0.042,0.9685,1,0.7396,1
0.7481,8.1177,0.6565,0.1281,0,0.2973,0
0.9281,2.2462,0.3722,0.4321,0,0.4699,0
0.2407,1.215,0.1975,0.8869,0,0.7543,1
0.2859,8.1595,0.8614,0.8465,1,0.5303,1
0.4605,8.42,0.7285,0.7764,0,0.3124,0
0.1774,5.4503,0.9847,0.9374,0,0.4811,0
0.726,8.1779,0.2135,0.5059,1,0.4521,0
0.7328,5.4224,0.5903,0.5084,0,0.4529,0
0.8733,6.3629,0.7611,0.1601,0,0.2438,0
0.0093,2.4668,0.7265,0.9918,0,0.7415,1
0.204,5.5508,0.7331,0.616,0,0.4571,0
0.3554,7.8379,0.5542,0.0052,1,0.3435,0
0.1489,3.056,0.8767,0.9963,0,0.5399,1
0.4486,7.2207,0.8862,0.593,0,0.417,0
0.0032,6.1959,0.3555,0.7942,0,0.5738,1
0.5882,4.8097,0.6423,0.0649,0,0.433,0
0.6035,6.7647,0.805,0.2698,1,0.47,0
0.4983,0.7706,0.0586,0.3342,1,0.7881,1
0.5173,4.402,0.1475,0.3282,0,0.5424,1
0.0886,2.2061,0.5982,0.7357,1,0.7619,1
0.4212,6.3618,0.7857,0.1183,0,0.3433,0
0.8398,3.8383,0.5719,0.5878,0,0.3281,0
0.0262,0.2419,0.8317,0.2731,0,0.5521,1
0.2987,9.4068,0.2593,0.4297,1,0.4873,0
0.8026,4.5819,0.483,0.1335,0,0.3554,0
0.7279,4.9646,0.4369,0.7295,1,0.5589,1
0.1354,7.5138,0.657,0.9566,0,0.4479,0
0.0571,2.8219,0.2617,0.247,1,0.6938,1
0.7594,4.4974,0.7767,0.0654,0,0.2336,0
0.0336,0.6265,0.9064,0.1392,0,0.4743,0
0.8998,0.2182,0.6638,0.9634,0,0.4789,0
0.9368,0.5226,0.4188,0.2602,1,0.4999,0
0.5653,4.6393,0.972,0.6085,0,0.3947,0
0.1141,1.5125,0.2253,0.251,1,0.8196,1
0.1148,8.6014,0.7228,0.0677,1,0.562,1
0.5435,0.8173,0.4583,0.4847,0,0.5482,1
0.4118,6.5097,0.5454,0.0623,0,0.4525,0
0.8064,4.5924,0.052,0.7863,0,0.4827,0
0.3302,7.5675,0.5194,0.2049,1,0.4418,0
0.8796,8.7058,0.2388,0.4512,1,0.3858,0
0.9092,5.387,0.4978,0.1055,0,0.2406,0
0.8221,3.8042,0.7756,0.9645,0,0.3284,0
0.7929,5.7759,0.6346,0.7979,0,0.3813,0
0.9151,5.3303,0.158,0.6959,1,0.5758,1
0.9061,2.769,0.9835,0.1407,0,0.2434,0
0.1842,8.9399,0.6543,0.1521,0,0.2909,0
0.8824,8.036,0.5052,0.9671,0,0.3425,0
0.9841,6.6792,0.6347,0.166,1,0.2421,0
0.0126,5.5976,0.5274,0.7194,1,0.6686,1
0.0794,7.315,0.1874,0.8582,1,0.7923,1
0.3144,4.7117,0.8216,0.4593,0,0.4522,0
0.4942,8.2825,0.3352,0.1738,1,0.4087,0
0.3479,4.5035,0.7488,0.6511,0,0.4553,0
0.3524,8.4145,0.4713,0.9791,0,0.4807,0
0.3251,6.8633,0.0696,0.1749,1,0.5356,1
0.2272,8.3704,0.2793,0.6429,0,0.3859,0
0.2126,0.3319,0.3039,0.6532,1,0.8304,1
0.8712,7.6606,0.7884,0.665,0,0.2581,0
0.5604,1.1099,0.4471,0.4604,1,0.6888,1
0.5466,3.804,0.9768,0.1107,0,0.3094,0
0.8583,2.9222,0.9108,0.754,1,0.4998,0
0.018,9.6281,0.7267,0.3048,1,0.49,0
0.1126,7.0369,0.5407,0.0965,0,0.3978,0
0.0124,4.6877,0.3013,0.5984,0,0.6883,1
0.0481,9.0289,0.8523,0.6678,0,0.3536,0
0.8923,1.8533,0.079,0.2395,1,0.5956,1
0.9954,8.557,0.5214,0.0636,1,0.2263,0
0.599,1.1493,0.0939,0.9096,0,0.7161,1
0.4304,3.1695,0.4346,0.7739,0,0.7109,1
0.8925,4.4338,0.6071,0.6313,0,0.3164,0
0.5124,1.0422,0.3845,0.4877,0,0.626,1
0.9505,6.0065,0.7436,0.5063,0,0.2541,0
0.3619,4.7249,0.0456,0.14,0,0.5204,1
0.9715,3.3135,0.482,0.1961,0,0.296,0
0.5166,0.0551,0.0077,0.2191,0,0.6171,1
0.108,3.3886,0.8026,0.572,0,0.5655,1
0.397,0.8709,0.6171,0.1138,0,0.5092,1
0.5074,8.7422,0.4935,0.7023,1,0.4476,0
0.3946,4.2183,0.411,0.9076,1,0.6461,1
0.6079,3.0937,0.8238,0.9551,1,0.591,1
0.6866,1.1449,0.3838,0.4562,0,0.5049,1
0.121,4.1895,0.7512,0.071,0,0.4801,0
0.6686,6.7867,0.3619,0.5937,0,0.3875,0
0.6361,9.1329,0.6126,0.8737,1,0.4284,0
0.1421,0.1171,0.422,0.295,0,0.6336,1
0.5772,0.4374,0.123,0.5586,0,0.6945,1
0.8456,6.9249,0.4299,0.673,0,0.4102,0
0.3063,7.8899,0.4464,0.7984,1,0.4762,0
0.5822,3.7117,0.6011,0.7056,0,0.4441,0
0.3746,1.6686,0.4305,0.1426,1,0.5934,1
0.0254,6.4582,0.6369,0.3406,0,0.4521,0
0.4096,3.1122,0.6771,0.6058,0,0.6043,1
0.1406,4.8559,0.0275,0.5055,1,0.7164,1
0.3842,0.39,0.031,0.388,0,0.6041,1
0.9001,1.1614,0.9559,0.314,1,0.4283,0
0.6029,8.2671,0.984,0.2884,1,0.2207,0
0.3404,5.4141,0.1541,0.5537,0,0.4804,0
0.7619,8.3365,0.4404,0.3023,0,0.2036,0
0.9664,5.5771,0.3473,0.5805,0,0.3155,0
0.444,6.2623,0.4889,0.4018,1,0.5282,1
0.5694,6.2066,0.2013,0.3951,0,0.4854,0
0.4755,5.4302,0.2277,0.964,1,0.6806,1
0.87,1.3065,0.7905,0.1248,1,0.5424,1
0.2758,8.7709,0.944,0.1488,0,0.2508,0
0.8635,5.8873,0.3753,0.2858,0,0.3448,0
0.7618,3.8654,0.5113,0.4923,0,0.4749,0
0.7645,5.7353,0.956,0.2005,0,0.2088,0
0.854,4.3915,0.847,0.8931,0,0.3626,0
0.5104,6.2659,0.9264,0.0191,0,0.3022,0
0.6877,7.2271,0.6925,0.1344,0,0.3002,0
0.2788,2.107,0.9574,0.0089,1,0.5004,1
0.6768,8.2847,0.2946,0.0143,1,0.4012,0
0.1429,7.5343,0.7689,0.6585,1,0.569,1
0.8459,6.136,0.0886,0.4876,0,0.3279,0
0.066,3.4882,0.111,0.8082,1,0.7463,1
0.0723,9.5512,0.5226,0.2996,0,0.4586,0
0.7071,0.5023,0.0729,0.4029,0,0.6042,1
0.2324,2.81,0.8035,0.9292,0,0.5724,1
0.4764,2.2603,0.6405,0.979,0,0.6135,1
0.3578,6.4782,0.1229,0.8887,0,0.6843,1
0.6248,0.7178,0.6826,0.2419,1,0.5075,1
0.8225,8.0396,0.5525,0.5202,0,0.2338,0
0.4967,2.8427,0.1338,0.6296,0,0.6527,1
0.7486,3.1759,0.0001,0.5111,0,0.592,1
0.0627,8.3934,0.0038,0.2468,1,0.5671,1
0.3163,1.0189,0.3602,0.2704,1,0.7602,1
0.8919,4.3382,0.9099,0.3773,1,0.3383,0
0.0893,6.8702,0.4938,0.3876,0,0.5071,1
0.6664,9.6605,0.761,0.9508,1,0.3432,0
0.2981,1.0536,0.7818,0.6441,0,0.6045,1
0.5004,4.3273,0.4577,0.2089,0,0.4286,0
0.3698,0.5236,0.7676,0.4165,1,0.631,1
0.6574,4.7228,0.8802,0.2157,0,0.3244,0
0.6078,2.953,0.1366,0.6516,1,0.7336,1
0.3951,7.1321,0.1992,0.8902,0,0.4625,0
0.3678,0.5809,0.1115,0.5159,0,0.6194,1
0.0193,1.2437,0.4136,0.4929,0,0.6424,1
0.5309,5.9513,0.0099,0.4641,1,0.7073,1
0.3119,7.7399,0.7729,0.5213,1,0.4743,0
0.1256,0.1695,0.7702,0.8072,0,0.7296,1
0.518,3.481,0.3717,0.0014,0,0.4048,0
0.6465,9.7419,0.8471,0.0236,1,0.2637,0
0.458,3.9801,0.3029,0.0657,0,0.4992,0
0.2466,4.8408,0.7474,0.4738,0,0.4916,0
0.0756,3.6568,0.2254,0.1958,0,0.6083,1
0.6224,7.8132,0.5783,0.147,1,0.3015,0
0.6741,2.599,0.3452,0.9175,0,0.651,1
0.47,8.9014,0.7077,0.0622,0,0.1788,0
0.9579,5.2966,0.2419,0.5006,0,0.3705,0
0.0762,2.747,0.807,0.4597,0,0.5279,1
0.1657,4.4554,0.2092,0.05,1,0.6364,1
0.9812,7.9314,0.8538,0.242,1,0.2347,0
0.2595,4.37,0.5936,0.0731,0,0.4629,0
0.9812,1.9011,0.7926,0.9079,1,0.5267,1
0.9773,7.5731,0.1617,0.4769,1,0.4463,0
0.2473,6.4062,0.6666,0.1627,0,0.3868,0
0.0121,0.0904,0.357,0.9262,0,0.8899,1
0.6344,2.2208,0.3217,0.848,1,0.6799,1
0.0292,4.8089,0.6624,0.1185,0,0.4401,0
0.3978,9.1953,0.9933,0.0449,1,0.2156,0
0.7543,9.1843,0.9509,0.5771,0,0.1021,0
0.7875,2.51,0.5641,0.3586,0,0.3833,0
0.9182,1.018,0.506,0.2209,0,0.392,0
0.036,1.7522,0.8668,0.2825,1,0.5804,1
0.5801,5.167,0.7588,0.2825,0,0.4397,0
0.8941,9.4646,0.8926,0.4194,1,0.2089,0
0.2047,5.9113,0.1861,0.3316,1,0.4604,0
0.2071,0.7116,0.069,0.9408,0,0.8675,1
0.8358,3.3219,0.6936,0.7711,0,0.3999,0
0.1516,8.7588,0.5391,0.2825,0,0.4184,0
0.0546,9.7308,0.2261,0.3042,0,0.3169,0
0.2304,0.0147,0.7293,0.9668,0,0.752,1
0.8484,4.2263,0.3029,0.3253,1,0.5404,1
0.8168,1.8161,0.3709,0.9019,1,0.7254,1
0.661,0.7846,0.5445,0.7093,0,0.4727,0
0.7806,5.8377,0.9522,0.0424,0,0.1162,0
0.7144,7.5901,0.1025,0.5139,0,0.4399,0
0.3693,9.3292,0.8275,0.6972,1,0.4577,0
0.6946,7.2898,0.8617,0.2741,1,0.3227,0
0.1952,3.4534,0.3356,0.9785,1,0.8302,1
0.5621,9.4709,0.4963,0.3805,0,0.33,0
0.7862,7.3444,0.3844,0.0252,1,0.357,0
0.235,7.0487,0.8171,0.5464,1,0.5211,1
0.0517,5.048,0.7185,0.8626,0,0.5835,1
0.3966,1.3172,0.8653,0.1573,0,0.5312,1
0.29,8.7141,0.6727,0.7967,0,0.4566,0
0.8328,9.0609,0.0122,0.674,0,0.4654,0
0.5489,2.8763,0.3068,0.353,0,0.579,1
0.4045,0.6835,0.7838,0.2858,0,0.4711,0
0.6854,3.3246,0.0566,0.3739,1,0.693,1
0.6323,1.9899,0.4183,0.7509,0,0.6185,1
0.2779,2.7632,0.432,0.9804,0,0.5919,1
0.9707,1.133,0.4036,0.7379,1,0.6072,1
0.4227,3.4652,0.3976,0.2643,0,0.4131,0
0.2875,6.5676,0.9685,0.6036,0,0.3715,0
0.0756,9.5142,0.2973,0.0921,0,0.475,0
